"","Family","Source","Latitude","Longitude","Elevation","UTMx","UTMy","bFFP","eFFP","MSP","Aspect","Slope","Hardiness","FFP","DD.5_sp"
"76","PL4","PL",38.76192,-120.74256,776.7992153,696140.1569,4292776.985,77,329,82,1.807896523,0.353680036,"9a",251,717
"77","PL7","PL",38.75437,-120.65384,990.946738,703871.1066,4292133.051,87,325,96,-2.613723976,0.125672311,"9a",239,639
"78","PuyallupHill","",47.184742,-122.328794,29.33918017,550852.5778,5225912.653,84,318,189,2.151786349,0.109577331,"8b",234,518
"79","PuyallupValley","",47.193831,-122.328583,7.098757528,550859.8802,5226922.846,81,319,182,2.381602199,0.067307238,"8b",238,535
"80","RA2","RA",42.19585,-124.22141,818,399155.7379,4672243.617,73,338,436,-1.68280835,0.193043992,"8b",265,429
"81","RA8","RA",42.19585,-124.22141,818,399155.7379,4672243.617,73,338,436,-1.68280835,0.193043992,"8b",265,429
"82","RV3","RV",39.2537,-123.1934667,274.6873016,483307.3629,4344948.392,80,321,54,1.486836853,0.18408383,"9a",240,755
"83","RV4","RV",39.25353333,-123.1938167,273.5079409,483277.1247,4344929.96,81,321,54,2.673097459,0.167128073,"9a",240,753
"84","RV8","RV",39.25345,-123.1935,277.2550454,483304.4304,4344920.654,81,321,54,-2.592567393,0.119598861,"9a",240,753
"85","SA5","SA",37.01937,-122.07581,346.3402625,582210.9177,4097420.376,32,350,57,-0.740843301,0.281535548,"10b",318,755
"86","SA7","SA",37.02232,-122.084,363.5983954,581479.212,4097740.597,29,352,59,3.036339867,0.138819843,"10b",322,757
"87","SA8","SA",37.01861,-122.07883,362.0519038,581943.0847,4097333.458,31,350,58,-0.841668146,0.301930375,"10b",319,754
"88","SC4","SC",37.21705,-122.0698667,875.173197,582524.7524,4119356.043,10,362,58,-0.272466694,0.141643161,"9b",352,620
"89","SN1","SN",39.39353,-121.08437,462.7435315,664961.0273,4362198.998,73,329,92,2.578950071,0.200814487,"9a",255,794
"90","SN2","SN",39.40079,-121.10321,551,663321.6003,4362970.519,79,326,98,-1.352538731,0.09550277,"9a",247,760
"91","SN3","SN",39.29279,-121.09569,447.3377691,664221.8366,4350997.255,64,333,82,2.064602832,0.361840843,"9a",269,809
"92","SN4","SN",39.32274,-121.1035,557.7090392,663478.5494,4354307.225,73,330,89,-2.369707598,0.225037832,"9a",257,769
"93","Sprague","",42.540568,-123.412465,313,466131.2373,4709880.133,110,298,86,-1.743824364,0.115737631,"8b",188,611
"94","SR2","SR",38.01201667,-122.5147833,11.48450529,542593.9017,4207259.365,26,351,25,2.011357507,0.316577134,"10a",325,840
"95","SR3","SR",38.0135,-122.5019167,10.06039235,543722.4995,4207429.914,27,350,24,0.505951551,0.236337015,"9b",323,837
"96","Starker","",44.458412,-123.479068,364.5615504,461888.1002,4922901.299,96,318,193,-2.731832937,0.195807519,"8b",222,437
"97","VE10","VE",44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,"8b",215,513
"98","VE5","VE",44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,"8b",215,513
"99","VE7","VE",44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,"8b",215,513
"100","VI3","VI",48.53861667,-123.3901333,79.15110082,471202.0554,5376241.524,77,318,143,-0.422923356,0.143541497,"8b",242,438
"101","VI4","VI",48.50686667,-123.3848833,95.20123184,471571.8246,5372710.366,78,318,141,-0.471458545,0.218718482,"8b",240,433
"102","VI5","VI",48.48685,-123.3873667,36.19343555,471377.1307,5370486.335,72,320,139,-0.593687595,0.050225651,"8b",248,452
"103","WL3","WL",45.35004,-122.76506,113.7036228,518403.7719,5021863.447,82,319,189,2.465937081,0.207877823,"8b",237,549
"104","WL8","WL",45.35004,-122.76506,113.7036228,518403.7719,5021863.447,82,319,189,2.465937081,0.207877823,"8b",237,549
"105","WV2","WV",45.36327,-122.75967,87.36788385,518821.6053,5023334.471,82,319,189,-2.939785277,0.118796732,"8b",237,554
"106","WV6","WV",45.36319,-122.75963,87.50499656,518824.7644,5023325.592,82,319,189,2.512755857,0.098955462,"8b",237,554
"107","ZE1","ZE",45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,"8b",213,506
"108","ZE4","ZE",45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,"8b",213,506
"109","ZE6","ZE",45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,"8b",213,506
