Source,Family,Latitude,Longitude,Elevation,UTMx,UTMy
SN,SN3,39.29279,-121.09569,447.3377691,664221.8366,4350997.255
SN,SN4,39.32274,-121.1035,557.7090392,663478.5494,4354307.225
SR,SR2,38.01201667,-122.5147833,11.48450529,542593.9017,4207259.365
SR,SR3,38.0135,-122.5019167,10.06039235,543722.4995,4207429.914
VE,VE10,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VE,VE5,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VE,VE7,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VI,VI3,48.53861667,-123.3901333,79.15110082,471202.0554,5376241.524
VI,VI4,48.50686667,-123.3848833,95.20123184,471571.8246,5372710.366
VI,VI5,48.48685,-123.3873667,36.19343555,471377.1307,5370486.335
WL,WL3,45.35004,-122.76506,113.7036228,518403.7719,5021863.447
WL,WL8,45.35004,-122.76506,113.7036228,518403.7719,5021863.447
WV,WV2,45.36327,-122.75967,87.36788385,518821.6053,5023334.471
WV,WV6,45.36319,-122.75963,87.50499656,518824.7644,5023325.592
ZE,ZE1,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
ZE,ZE4,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
ZE,ZE6,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
