Source,Family,Latitude,Longitude,Elevation,UTMx,UTMy,bFFP ,eFFP ,MSP,Aspect,Slope,Hardiness,FFP 
KLb,KL11,41.83333333,-123.1666667,441,486161.0987,4631285.11,124,299,90,1.219909706,0.362481524,8b,176
KLb,KL12,41.53333333,-123.5166667,489,456899.6136,4598093.725,113,304,103,1.831873998,0.246233494,8b,191
KLc,KL13,41.33333333,-123.1666667,1180,486053.9276,4575774.694,128,302,107,2.63399628,0.587579889,8b,173
KLc,KL14,41.31666667,-123.5166667,307,456756.0953,4574039.765,84,325,112,-3.099890747,0.37037054,9a,240
KLa,KL6,41.94471667,-123.4904667,916.031443,459345.5214,4643754.519,129,303,141,-0.317694936,0.313302505,8a,174
KLa,KL7,41.9425,-123.4950833,988.6591217,458961.4318,4643510.606,131,304,148,-2.137515578,0.178286791,8a,173
KM,KM1,47.30826667,-122.6779333,76.083493,524344.11,5239471.884,84,318,187,2.82654488,0.1810587,8b,234
KM,KM10,47.30675,-122.6778333,85.40433428,524352.3654,5239303.364,84,318,187,-2.466734373,0.432515668,8b,234
LA,LA10,37.307611,-122.173174,654.3028825,573270.9861,4129317.989,15,360,55,2.753661677,0.423626037,10a,346
LA,LA13,37.341854,-122.177021,555.7551679,572896.9811,4133114.015,17,359,50,-1.057448454,0.086276389,10a,342
LA,LA5,37.22198,-122.145232,450,575832.9973,4119839.979,27,355,53,-1.380818839,0.426530217,10a,328
LA,LA8,37.295503,-122.163829,694.050928,574111.0102,4127981.987,13,360,54,0.695297354,0.201826803,10a,347
LC,LC1,48.0735,-123.80045,606.9162552,440375.0976,5324779.379,94,312,181,-1.368785871,0.551275818,8b,218
LC,LC2,48.0582,-123.79925,188.427708,440446.836,5323077.917,96,311,193,2.97496497,0.163777934,8b,215
OH,OH1,48.30341667,-122.6466833,23.90940699,526200.904,5350084.942,80,316,145,2.578492255,0.031215187,8b,236
OK,OK1,43.67946667,-122.3489333,933.9884154,552478.9433,4836478.837,130,300,273,-2.079241894,0.183666299,8a,169
OL,OL1,47.05435,-122.8932833,10.75525348,508104.9673,5211209.382,99,310,197,-3.090005681,0.233644393,8a,211
OR,OR1,45.44143,-123.03951,184,496910.0113,5031990.34,97,313,173,2.456622884,0.027647386,8b,216
PA,PA1,48.10106667,-123.4425333,105.0010194,467053.5684,5327628.168,86,313,135,1.560586799,0.081388377,8b,227
PA,PA3,48.11241667,-123.44635,53.60249091,466776.7329,5328891.334,78,317,126,2.069149105,0.191455714,8b,239
PA,PA4,48.10711667,-123.4479167,75.85669041,466656.6903,5328302.929,82,315,130,2.130372084,0.036598629,8b,234
PF,PF1,46.83825,-122.30768,446.3859074,552792.5795,5187422.333,118,298,239,-3.045435602,0.206807071,8a,180
PF,PF2,46.83884,-122.30791,441.4071987,552774.4633,5187487.74,118,298,238,2.608734875,0.206084963,8a,180
PF,PF4,46.84325,-122.31388,278.243519,552314.9488,5187973.798,109,303,219,0.678447218,0.141654971,8a,194
PF,PF5,46.84235,-122.31428,275.7847416,552285.323,5187873.521,110,303,219,-2.744959183,0.092530346,8a,194
PL,PL1,38.74397,-120.74745,805.0578535,695764.2879,4290774.327,73,331,84,-1.911118766,0.051150933,9a,258
PL,PL11,38.74076,-120.71252,898.904047,698809.2355,4290493.383,75,331,88,1.000746698,0.038437558,9b,257
PL,PL4,38.76192,-120.74256,776.7992153,696140.1569,4292776.985,77,329,82,1.807896523,0.353680036,9a,251
PL,PL7,38.75437,-120.65384,990.946738,703871.1066,4292133.051,87,325,96,-2.613723976,0.125672311,9a,239
RA,RA2,42.19585,-124.22141,818,399155.7379,4672243.617,73,338,436,-1.68280835,0.193043992,8b,265
RA,RA8,42.19585,-124.22141,818,399155.7379,4672243.617,73,338,436,-1.68280835,0.193043992,8b,265
RV,RV3,39.2537,-123.1934667,274.6873016,483307.3629,4344948.392,80,321,54,1.486836853,0.18408383,9a,240
RV,RV4,39.25353333,-123.1938167,273.5079409,483277.1247,4344929.96,81,321,54,2.673097459,0.167128073,9a,240
RV,RV8,39.25345,-123.1935,277.2550454,483304.4304,4344920.654,81,321,54,-2.592567393,0.119598861,9a,240
SA,SA5,37.01937,-122.07581,346.3402625,582210.9177,4097420.376,32,350,57,-0.740843301,0.281535548,10b,318
SA,SA7,37.02232,-122.084,363.5983954,581479.212,4097740.597,29,352,59,3.036339867,0.138819843,10b,322
SA,SA8,37.01861,-122.07883,362.0519038,581943.0847,4097333.458,31,350,58,-0.841668146,0.301930375,10b,319
SC,SC4,37.21705,-122.0698667,875.173197,582524.7524,4119356.043,10,362,58,-0.272466694,0.141643161,9b,352
SN,SN1,39.39353,-121.08437,462.7435315,664961.0273,4362198.998,73,329,92,2.578950071,0.200814487,9a,255
SN,SN2,39.40079,-121.10321,551,663321.6003,4362970.519,79,326,98,-1.352538731,0.09550277,9a,247
