"","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"1","Ecoregion","Bud.Swollen","CSCD","4.38755957797183","1.06690608865878","7.70821306728488","0.0101392362271338"
"2","Ecoregion","Bud.Swollen","CSCO","1.56055646882257","-2.03115208434318","5.15226502198832","0.396647682275908"
"3","Ecoregion","Bud.Swollen","KLMT","2.07354783997216","-0.704358765729493","4.85145444567382","0.145582586096141"
"4","Ecoregion","Bud.Swollen","PULO","4.67268264611213","1.95142696944063","7.39393832278363","0.000854011283630003"
"5","Ecoregion","Bud.Swollen","SRNA","3.41065683469597","-0.315918116340585","7.13723178573253","0.0744955704484994"
"6","Ecoregion","Bud.Swollen","WIVA","2.61778695939645","-0.367016544556005","5.60259046334891","0.0873893565088307"
"7","Ecoregion_Lat","Bud.Swollen","CSCD","4.68853018768908","1.09834542687986","8.2787149484983","0.0111130236685818"
"8","Ecoregion_Lat","Bud.Swollen","CSCO","0.979041290878514","-3.47773718565254","5.43581976740957","0.668445078198201"
"9","Ecoregion_Lat","Bud.Swollen","KLMT","1.88677322684595","-1.01719374900385","4.79074020269575","0.205537584999059"
"10","Ecoregion_Lat","Bud.Swollen","PULO","5.25424849623485","1.46338205467173","9.04511493779797","0.00706198723262281"
"11","Ecoregion_Lat","Bud.Swollen","SRNA","2.84674042392595","-1.67368773081464","7.36716857866655","0.219796810149883"
"12","Ecoregion_Lat","Bud.Swollen","WIVA","2.77828192541177","-0.293676464920278","5.85024031574382","0.0782384214379323"
"13","Ecoregion_Lat","Bud.Swollen","Lat","-0.128258149376171","-0.710404791096255","0.453888492343912","0.667530539744657"
"14","Ecoregion_Lat_Long","Bud.Swollen","CSCD","7.88830642206518","2.14628754426115","13.6303252998692","0.00763147988556892"
"15","Ecoregion_Lat_Long","Bud.Swollen","CSCO","2.28460753302408","-2.52651294640559","7.09572801245376","0.355108051399478"
"16","Ecoregion_Lat_Long","Bud.Swollen","KLMT","2.30394387778665","-0.653581188676229","5.26146894424954","0.129503017241888"
"17","Ecoregion_Lat_Long","Bud.Swollen","PULO","6.93451067602745","2.47670787806809","11.3923134739868","0.00254121752232322"
"18","Ecoregion_Lat_Long","Bud.Swollen","SRNA","7.40536406056921","-0.418457369100968","15.2291854902394","0.0655962118560458"
"19","Ecoregion_Lat_Long","Bud.Swollen","WIVA","4.1763309421499","0.536663113329501","7.8159987709703","0.0257152559890273"
"20","Ecoregion_Lat_Long","Bud.Swollen","Lat","-0.231150807356001","-0.829960490499293","0.36765887578729","0.45216372216146"
"21","Ecoregion_Lat_Long","Bud.Swollen","Long","-1.57482853371483","-3.78270487631668","0.633047808887025","0.165026422384357"
"22","Ecoregion_Long","Bud.Swollen","CSCD","6.96020390036072","1.74324851888652","12.1771592818349","0.00949557445814963"
"23","Ecoregion_Long","Bud.Swollen","CSCO","3.10160269758372","-1.22108447084709","7.42428986601452","0.162170244468793"
"24","Ecoregion_Long","Bud.Swollen","KLMT","2.56663289973607","-0.312939584799561","5.4462053842717","0.0826336894677476"
"25","Ecoregion_Long","Bud.Swollen","PULO","5.72816030254329","2.54767603318442","8.90864457190215","0.000477693161104784"
"26","Ecoregion_Long","Bud.Swollen","SRNA","7.76837450467807","-0.00251120897731294","15.5392602183334","0.0516626814506272"
"27","Ecoregion_Long","Bud.Swollen","WIVA","3.72160116526242","0.276161641502239","7.1670406890226","0.0355527649190067"
"28","Ecoregion_Long","Bud.Swollen","Long","-1.36951461179282","-3.51341344896913","0.774384225383484","0.213252588717829"
"29","Ecoregion_Long_Elev","Bud.Swollen","CSCD","6.62083611281375","1.32105350430653","11.920618721321","0.0152062180616319"
"30","Ecoregion_Long_Elev","Bud.Swollen","CSCO","3.16290954544418","-1.16133332430815","7.48715241519651","0.15454851991842"
"31","Ecoregion_Long_Elev","Bud.Swollen","KLMT","1.89275831419707","-1.54379208850917","5.3293087169033","0.283531816388863"
"32","Ecoregion_Long_Elev","Bud.Swollen","PULO","6.02715786722927","2.74068269497138","9.31363303948716","0.000380874998578406"
"33","Ecoregion_Long_Elev","Bud.Swollen","SRNA","7.31268924639097","-0.557996434110522","15.1833749268925","0.0706994354905013"
"34","Ecoregion_Long_Elev","Bud.Swollen","WIVA","3.91940486982065","0.431601823477541","7.40720791616375","0.028917862903762"
"35","Ecoregion_Long_Elev","Bud.Swollen","Long","-1.52117028865348","-3.70542385859625","0.66308328128928","0.175221614091101"
"36","Ecoregion_Long_Elev","Bud.Swollen","Elev","0.0016611486975096","-0.00296696440695782","0.00628926180197702","0.484506844646158"
"37","Ecoregion_Long_Slope","Bud.Swollen","CSCD","7.01367789435959","1.79977451231475","12.2275812764044","0.00898177856310809"
"38","Ecoregion_Long_Slope","Bud.Swollen","CSCO","3.12289213737902","-1.19655027982833","7.44233455458637","0.159360326456219"
"39","Ecoregion_Long_Slope","Bud.Swollen","KLMT","2.35897354393014","-0.548825989481416","5.26677307734169","0.114407828430957"
"40","Ecoregion_Long_Slope","Bud.Swollen","PULO","6.15492210247358","2.86170700328397","9.4481372016632","0.000294466822831871"
"41","Ecoregion_Long_Slope","Bud.Swollen","SRNA","8.5016099965588","0.596410435011133","16.4068095581065","0.0365216441792936"
"42","Ecoregion_Long_Slope","Bud.Swollen","WIVA","4.03107987828058","0.531885203383538","7.53027455317762","0.0251365009112467"
"43","Ecoregion_Long_Slope","Bud.Swollen","Long","-1.62107352711965","-3.82292415603536","0.580777101796061","0.151867818784049"
