"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","STDError","Pr(>|z|)"
"48","PuyallupValley","Ecoregion_MSP","PercDead","MSP","-0.00629665725519398","0.0612567313616781","0.918128633542547"
"49","PuyallupValley","Ecoregion_DD.5.sp","PercDead","CSCD","0.160692143728863","0.272876268807465","0.555939890483081"
"50","PuyallupValley","Ecoregion_DD.5.sp","PercDead","CSCO","-0.14567062874091","0.174133079346283","0.402846848348977"
"51","PuyallupValley","Ecoregion_DD.5.sp","PercDead","KLMT","-0.27871686543945","0.164444158156895","0.090093859739178"
"52","PuyallupValley","Ecoregion_DD.5.sp","PercDead","PULO","-0.0493289506738335","0.192091877904388","0.797334148972555"
"53","PuyallupValley","Ecoregion_DD.5.sp","PercDead","SRNA","-0.224952360514863","0.199193076611981","0.258763639135447"
"54","PuyallupValley","Ecoregion_DD.5.sp","PercDead","WIVA","0.240668019386413","0.185348427574331","0.194128386277021"
"55","PuyallupValley","Ecoregion_DD.5.sp","PercDead","DD.5.sp","-0.0207699134373402","0.0859511221453269","0.809052955435219"
"56","PuyallupValley","Dist","PercDead","Dist","-0.000178722243487053","0.00012336140386654","0.147401954799438"
"57","PuyallupValley","Aspect_ElevDist","PercDead","Aspect","-0.0543413313632224","0.0462360405331528","0.2398737377468"
"58","PuyallupValley","Aspect_ElevDist","PercDead","ElevDist","-0.084929887728065","0.0462506752230031","0.0663140258523981"
"59","PuyallupValley","Aspect_ElevDist_eFFP","PercDead","Aspect","-0.163990734107267","0.0795145895521483","0.0391698552114136"
"60","PuyallupValley","Aspect_ElevDist_eFFP","PercDead","ElevDist","-0.0660773928445932","0.0476113400201909","0.165182760379612"
"61","PuyallupValley","Aspect_ElevDist_eFFP","PercDead","eFFP","-0.138343777749896","0.0816590566957625","0.0902342547338427"
"62","PuyallupValley","Aspect_eFFP","PercDead","Aspect","-0.166635483193278","0.079473385731223","0.0360160888914503"
"63","PuyallupValley","Aspect_eFFP","PercDead","eFFP","-0.164865539098591","0.0793738780176553","0.0377945894194603"
"64","PuyallupValley","ElevDist","PercDead","ElevDist","-0.00023076178999831","0.00014792487103489","0.11876149281334"
"65","PuyallupHill","Dist_Slope_ElevDist_DD.5.sp","PercDead","Dist","0.469209596339923","0.177022991564679","0.00803590764709887"
