"","Site","Dep","Indep","Rand","AIC","R2m","R2c"
"43","Starker","PercDead","Dist_Slope_ElevDist","Block","14.8217756246289","0.99933873092922","0.99933873092922"
"44","Starker","PercDead","Dist_Slope_MSP","Block","14.8217756233047","0.999538408653388","0.999538408653388"
"45","Starker","PercDead","Dist_Aspect_ElevDist","Block","14.8217756234867","0.999306309321117","0.999306309321117"
"46","Starker","PercDead","Dist_ElevDist_eFFP","Block","14.8217756245046","0.999353900994637","0.999353900994637"
"47","Starker","PercDead","Dist_ElevDist_MSP","Block","14.8217756270127","0.999534292273015","0.999534292273015"
"48","Starker","PercDead","Dist_ElevDist_DD.5.sp","Block","14.8217756266485","0.999603890346077","0.999603890346077"
"49","Starker","PercDead","Slope_ElevDist","Block","12.8217756430537","0.999852438407254","0.999852438407254"
"50","Starker","PercDead","Slope_ElevDist_MSP","Block","14.8217756298034","0.999686898556073","0.999686898556073"
"51","Starker","PercDead","Slope_ElevDist_DD.5.sp","Block","14.8217756268592","0.999648240903049","0.999648240903049"
"52","Starker","PercDead","Slope_eFFP_MSP","Block","14.8217756267258","0.999760539050881","0.999760539050881"
"53","Starker","PercDead","Slope_MSP","Block","12.8217756320502","0.999880034728095","0.999880034728095"
"54","Starker","PercDead","Slope_MSP_DD.5.sp","Block","14.8217756211012","0.999241440080012","0.999241440080012"
"55","Starker","PercDead","Aspect_ElevDist","Block","12.8217756349202","0.999742249717105","0.999742249717105"
"56","Starker","PercDead","Aspect_ElevDist_eFFP","Block","14.8217756223598","0.999097610697879","0.999097610697879"
"57","Starker","PercDead","Aspect_ElevDist_MSP","Block","14.8217756224783","0.998736041553067","0.998736041553067"
"58","Starker","PercDead","Aspect_ElevDist_DD.5.sp","Block","14.8217756292216","0.999691807327338","0.999691807327338"
"59","Starker","PercDead","Aspect_eFFP_DD.5.sp","Block","14.8217756204635","0.999412493466696","0.999412493466696"
"60","Starker","PercDead","ElevDist_eFFP","Block","12.821775635884","0.999832785944475","0.999832785944475"
"61","Starker","PercDead","ElevDist_eFFP_MSP","Block","14.8217756278918","0.99971530165337","0.99971530165337"
"62","Sprague","PercDead","Ecoregion","Block","116.851330052728","0.396805151488921","0.396805151488921"
"63","Sprague","PercDead","Ecoregion_Dist","Block","118.812427375723","0.396761478758782","0.396761478758782"
"64","Sprague","PercDead","Ecoregion_Dist_Slope_DD.5.sp","Block","118.512423529565","0.42111582265039","0.42111582265039"
"65","Sprague","PercDead","Ecoregion_Slope","Block","118.255275805113","0.397253953662516","0.397253953662516"
"66","Sprague","PercDead","Ecoregion_Aspect","Block","118.385402189686","0.397210847758289","0.397210847758289"
"67","Sprague","PercDead","Ecoregion_ElevDist","Block","118.323668690964","0.39714969369626","0.39714969369626"
"68","Sprague","PercDead","Ecoregion_eFFP","Block","118.538568405248","0.39822573131042","0.39822573131042"
"69","Sprague","PercDead","Ecoregion_MSP","Block","118.540328752764","0.397405350843311","0.397405350843311"
"70","Sprague","PercDead","Ecoregion_DD.5.sp","Block","118.82036065003","0.396812686321859","0.396812686321859"
