"","Site","Dep_Var","Indep_Var","Estimate","Stdev","Pval","Corr_Pval"
"1","PH","Growth","Dist",0.00534183410146167,0.00923896779858765,0.563264045956795,1
"2","PH","Growth","eFFP",0.000273455229811274,0.0147044105487332,0.985166302382096,1
"3","PH","Growth","eFFP2",1.0635650153663e-07,4.60175105385213e-06,0.981565214588653,1
"4","PV","Growth","EcoregionCORA",2.70651115953051,8.04871431716658,0.736738573264083,1
"5","PV","Growth","EcoregionCSCD",-2.75751543904875,6.01819282461466,0.646907859920086,1
"6","PV","Growth","EcoregionCSCO",-3.25698759802966,9.00955795651081,0.717797158776721,1
"7","PV","Growth","EcoregionKLMT",-4.76836684548059,6.64457684248439,0.47314639751461,1
"8","PV","Growth","EcoregionSRNA",-5.66964178359405,9.29237482306813,0.541904213161469,1
"9","PV","Growth","EcoregionWIVA",-6.65837601680739,5.19354673232305,0.200114307498618,1
"10","PV","Growth","Dist",0.0054958521193411,0.00960947461489907,0.567500866033418,1
"11","PV","Growth","eFFP",0.00622329542940875,0.010532515845574,0.55474047818868,1
"12","PV","Growth","eFFP2",5.93558510535636e-08,3.2022090267673e-06,0.98521492212259,1
"13","SF","Growth","EcoregionCORA",14.2284273977003,8.05427765780648,0.0774889278117502,1
"14","SF","Growth","EcoregionCSCD",12.4256523077978,9.76946809403222,0.203596082319813,1
"15","SF","Growth","EcoregionCSCO",6.55285376603665,12.3221903875844,0.594942332661739,1
"16","SF","Growth","EcoregionKLMT",9.95866467943626,6.62803500974914,0.133161284692376,1
"17","SF","Growth","EcoregionPULO",10.8538771123536,7.53902526435995,0.150147656578325,1
"18","SF","Growth","EcoregionSRNA",13.6896737123924,9.52371481852139,0.150788957317718,1
"19","SF","Growth","Dist",-0.0268502217712081,0.0193320326625929,0.165054666206034,1
"20","SF","Growth","Slope",0.392951895486028,0.267707808577452,0.142342147765124,1
"21","SF","Growth","Slope2",-0.00030434176757261,0.0001951095312764,0.118990452445076,1
"22","SF","Growth","Aspect",-22.3171951078651,10.0216175754507,0.0260905855553094,0.913170494435829
"23","SF","Growth","Aspect2",0.288618599133233,0.136070099929919,0.0340647160103811,1
"24","SF","Growth","eFFP",-0.302279083089022,0.123482428890664,0.0144725408744029,0.506538930604102
"25","SF","Growth","eFFP2",6.64364908827867e-05,2.9684521683934e-05,0.0253509110865789,0.88728188803026
"26","SF","Growth","MSP",0.195430360645013,0.116541852492384,0.0937527348435124,1
"27","SF","Growth","MSP2",-0.0025502180910936,0.00156387479019332,0.103147011932866,1
"28","SF","Growth","DD.5.sp",-0.0604470040826238,0.0506434096709148,0.232816725054326,1
"29","SF","Growth","DD.5.sp2",6.99099134445934e-06,1.03375402888761e-05,0.498964361298388,1
"30","SO","Growth","eFFP",-0.00831344682570876,0.00789004086807967,0.292293130802885,1
"31","SO","Growth","eFFP2",2.30560885648301e-06,3.51859095667501e-06,0.512448883576065,1
"32","SO","Growth","MSP",0.0201963422770127,0.0450659196134947,0.654141800126223,1
"33","SO","Growth","MSP2",-5.76586545679497e-05,0.000239785048846963,0.810023440718447,1
"34","SO","Growth","DD.5.sp",-0.00545195251130135,0.0150493998059608,0.717226959951099,1
"35","SO","Growth","DD.5.sp2",8.00092076397277e-07,3.74420796875814e-06,0.830834241086843,1
