"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"1","Bud.Swollen","Phenology","Lat_Long","7.23876012405577","7.2713829362214","8.59089461527692","7.82418262620304","7.6552827077337"
"2","Bud.Swollen","Phenology","Long","7.24333759645074","7.27899144597778","8.57434171312098","7.82415364245896","7.61633382302594"
"3","Bud.Swollen","Phenology","Long_Elev","7.25091516784976","7.29753669606699","8.57523475020349","7.81959613374309","7.62987384807389"
"4","Bud.Swollen","Phenology","Long_eFFP","7.24586020752926","7.28368373298573","8.70675791456528","7.83560945437777","7.64739596161764"
"5","Bud.Swollen","Phenology","Long_MSP","7.21031210693686","7.25734380121814","8.59637009737384","7.82654854777598","7.68765218128993"
"6","Bud.Swollen","Phenology","Long_MSP_Slope","7.21725011483661","7.26374000328648","8.61458703158761","7.82193607107188","7.70486858260269"
"7","Bud.Swollen","Phenology","Long_MSP_Aspect","7.22153091259392","7.23866900696988","8.59788272489501","7.87256424340169","7.67160923885368"
"8","Bud.Swollen","Phenology","Long_Slope","7.25230370246101","7.28611701355286","8.5975268496103","7.81998116306238","7.63956148852088"
"9","Bud.Swollen","Phenology","Long_Aspect","7.26242379224052","7.24970306016157","8.5716187236461","7.87529890098701","7.60349486769864"
"10","Bud.Swollen","Phenology","Long_DD.5.sp","7.20913364491713","7.28953265838133","8.67718600926821","7.82460176144155","7.68884282617733"
"11","Bud.Swollen","Phenology","Elev","7.24667426181866","7.33666645937017","8.58399014530727","7.82036771644789","7.67080588927019"
"12","Bud.Swollen","Phenology","eFFP","7.24164729205235","7.3206827428481","8.72329347073122","7.84229707927197","7.68153575447851"
"13","Bud.Swollen","Phenology","MSP","7.24634185813611","7.30380446512447","8.58472903987105","7.81435020630697","7.73039454353546"
"14","Bud.Swollen","Phenology","Aspect","7.2564474356281","7.28700203979306","8.57412188146334","7.86921579376826","7.65474827418067"
"15","Bud.Swollen","Phenology","DD.5.sp","7.24305126179044","7.32519412878685","8.64427852271937","7.81523670444209","7.73778999698417"
"16","Bud.Elongating","Phenology","Lat_Elev_eFFP_Slope","6.87965800931021","6.8242206136265","8.24858295440743","7.20168249247925","6.60355252908225"
"17","Bud.Elongating","Phenology","Long_Elev_eFFP_Slope","6.9490501821038","6.78035110444685","8.26042318529528","7.20674000563375","6.61151288108039"
"18","Bud.Elongating","Phenology","Elev_eFFP","6.92722364813344","6.75454199170195","8.24298115893822","7.12017143113598","6.65888946565423"
"19","Bud.Elongating","Phenology","Elev_eFFP_MSP_Slope","6.86990072024042","6.7397907277208","8.25438827451186","7.21638383807675","6.6035890569127"
"20","Bud.Elongating","Phenology","Elev_eFFP_Slope","6.87092569750558","6.73340217183632","8.25313513041022","7.19894888291557","6.60562906225266"
"21","Bud.Elongating","Phenology","Elev_eFFP_Slope_Aspect","6.85943793429433","6.73535114624762","8.25032811436527","7.30943996372464","6.60595571856608"
"22","Bud.Elongating","Phenology","Elev_eFFP_Slope_DD.5.sp","6.87717264302425","6.76867670844293","8.25091769538376","7.21393702884134","6.60253275604964"
"23","Bud.Elongating","Phenology","Elev_Slope_DD.5.sp","6.79373414555532","6.78561262655905","8.29031894898776","7.23341338855137","6.63683383142004"
"24","Leaves.emerging","Phenology","Ecoregion","5.27044028284326","6.21360443576715","5.57784950684891","6.05162429296046","6.27130980416192"
"25","Leaves.emerging","Phenology","Ecoregion_Lat","5.29304830882351","6.20630909586966","5.53149165036572","6.03146481304458","6.29240470600617"
"26","Leaves.emerging","Phenology","Ecoregion_Lat_Long","5.30162730619634","6.18049794211255","5.5359412068329","6.0827384794431","6.34140767097548"
"27","Leaves.emerging","Phenology","Ecoregion_Lat_eFFP","5.29496180900615","6.21325100202683","5.52910692157649","6.04643325680648","6.30899727254524"
"28","Leaves.emerging","Phenology","Ecoregion_Lat_Slope","5.30834419799559","6.19657366529643","5.52380639726233","6.05309142029298","6.28771726021414"
"29","Leaves.emerging","Phenology","Ecoregion_Lat_DD.5.sp","5.27654880712359","6.19285421935587","5.55041074843817","6.06085385374672","6.45083028884259"
"30","Leaves.emerging","Phenology","Ecoregion_Long","5.26533400671961","6.17593259546257","5.57674009888424","6.10493632638241","6.29249598659983"
"31","Leaves.emerging","Phenology","Ecoregion_Elev_DD.5.sp","5.24775303462839","6.14915356639925","5.54702302085735","6.07236680607688","6.44556969864762"
"32","Leaves.emerging","Phenology","Ecoregion_Slope","5.27972084875964","6.19856792754338","5.56999789316176","6.07688375936172","6.26493687951332"
"33","Leaves.emerging","Phenology","Ecoregion_Slope_DD.5.sp","5.24599834368732","6.1651036941206","5.57251637975222","6.0580052861397","6.45728607705798"
"34","Leaves.emerging","Phenology","Ecoregion_DD.5.sp","5.24647039694106","6.1876395542603","5.58180305741159","6.04512847875866","6.46266196439264"
"35","Leaves.emerging","Phenology","Lat_Elev","5.29039210121263","6.18531671919457","5.68624842266357","6.00985660065142","6.30582695762688"
"36","Leaves.emerging","Phenology","Lat_Elev_eFFP","5.24763807656144","6.19073022103874","5.66264134906579","5.99305583677534","6.33959306416988"
"37","Leaves.emerging","Phenology","Long_Elev","5.30928135451371","6.22649064191978","5.68606365720172","6.01299216470965","6.30754292331526"
"38","Leaves.emerging","Phenology","Elev","5.29283243097985","6.1821686975492","5.68650264490613","6.01032874486455","6.3009230840039"
"39","Leaves.emerging","Phenology","Elev_eFFP","5.25313527006432","6.19761011343483","5.67998686101408","5.9903289515236","6.29761997073045"
