"","Site","Group","DBK","NumLoc","NumDist","AIC"
"163",95,"Local",30,0,0,0
"164",95,"Local",31,0,0,0
"165",95,"Local",54,0,0,0
"166",95,"Local",58,0,0,0
"167",95,"Local",18,0,0,0
"168",95,"Local",0,0,0,0
"169",95,"Local",11,0,0,0
"170",95,"Local",0,0,0,0
"171",95,"Local",31,0,0,0
"172",95,"Local",20,0,0,0
"173",95,"Local",3,0,0,0
"174",95,"Local",20,0,0,0
"175",95,"Local",54,0,0,0
"176",95,"Local",41,0,0,0
"177",95,"Local",39,0,0,0
"178",95,"Local",0,0,0,0
"179",95,"Local",0,0,0,0
"180",95,"Local",19,0,0,0
"181",95,"Local",11,0,0,0
"182",95,"Local",27,0,0,0
"183",95,"Local",3,0,0,0
"184",95,"Local",16,0,0,0
"185",95,"Local",16,0,0,0
"186",95,"Local",23,0,0,0
"187",95,"Local",54,0,0,0
"188",95,"Local",15,0,0,0
"189",95,"Local",2,0,0,0
"190",95,"Local",22,0,0,0
"191",95,"Local",54,0,0,0
"192",95,"Local",76,0,0,0
"193",95,"Local",61,0,0,0
"194",95,"Local",0,0,0,0
"195",95,"Local",19,0,0,0
"196",95,"Local",68,0,0,0
"197",95,"Local",0,0,0,0
"198",95,"Local",8,0,0,0
"199",95,"Local",15,0,0,0
"200",95,"Local",0,0,0,0
"201",95,"Local",31,0,0,0
"202",95,"Local",44,0,0,0
"203",95,"Local",46,0,0,0
"204",95,"Local",0,0,0,0
"205",95,"Local",0,0,0,0
"206",95,"Local",0,0,0,0
"207",95,"Local",27,0,0,0
"208",95,"Local",27,0,0,0
"209",95,"Local",0,0,0,0
"210",95,"Local",1,0,0,0
"211",95,"Local",0,0,0,0
"212",95,"Local",5,0,0,0
"213",95,"Local",14,0,0,0
"214",95,"Local",20,0,0,0
"215",95,"Local",0,0,0,0
"216",95,"Local",66,0,0,0
"217",95,"Local",0,0,0,0
"218",95,"Local",114,0,0,0
"219",95,"Local",14,0,0,0
"220",95,"Local",41,0,0,0
"221",95,"Local",36,0,0,0
"222",95,"Local",56,0,0,0
"223",95,"Local",9,0,0,0
"224",95,"Local",101,0,0,0
"225",95,"Local",49,0,0,0
"226",95,"Local",15,0,0,0
"227",95,"Local",10,0,0,0
"228",95,"Local",0,0,0,0
"229",95,"Local",37,0,0,0
"230",95,"Local",0,0,0,0
"231",95,"Local",0,0,0,0
"232",95,"Local",0,0,0,0
"233",95,"Local",0,0,0,0
"234",95,"Local",43,0,0,0
"235",95,"Local",3,0,0,0
"236",95,"Local",34,0,0,0
"237",95,"Local",31,0,0,0
"238",95,"Local",4,0,0,0
"239",95,"Local",12,0,0,0
"240",95,"Local",23,0,0,0
"241",95,"Local",14,0,0,0
"242",95,"Local",40,0,0,0
"243",95,"Local",38,0,0,0
"244",95,"Local",0,0,0,0
"245",95,"Local",27,0,0,0
"246",95,"Local",0,0,0,0
"247",95,"Local",28,0,0,0
"248",95,"Local",42,0,0,0
"249",95,"Local",7,0,0,0
"250",95,"Local",60,0,0,0
"251",95,"Local",0,0,0,0
"252",95,"Local",0,0,0,0
"253",95,"Local",23,0,0,0
"254",95,"Local",21,0,0,0
"255",95,"Local",0,0,0,0
"256",95,"Local",26,0,0,0
"257",95,"Local",77,0,0,0
"258",95,"Local",18,0,0,0
"259",95,"Local",9,0,0,0
"260",95,"Local",36,0,0,0
"261",95,"Local",1,0,0,0
"262",95,"Local",0,0,0,0
"263",95,"Local",17,0,0,0
"264",95,"Local",13,0,0,0
"265",95,"Local",56,0,0,0
"266",95,"Local",31,0,0,0
"267",95,"Local",36,0,0,0
"268",95,"Local",0,0,0,0
"269",95,"Local",0,0,0,0
"270",95,"Local",0,0,0,0
"271",95,"Local",0,0,0,0
"272",95,"Local",10,0,0,0
"273",95,"Local",10,0,0,0
"274",95,"Local",41,0,0,0
"275",95,"Dist",89,0,0,0
"276",95,"Dist",64,0,0,0
"277",95,"Dist",0,0,0,0
"278",95,"Dist",0,0,0,0
"279",95,"Dist",22,0,0,0
"280",95,"Dist",9,0,0,0
"281",95,"Dist",9,0,0,0
"282",95,"Dist",6,0,0,0
"283",95,"Dist",15,0,0,0
"284",95,"Dist",0,0,0,0
"285",95,"Dist",63,0,0,0
"286",95,"Dist",0,0,0,0
"287",95,"Dist",2,0,0,0
"288",95,"Dist",0,0,0,0
"289",95,"Dist",0,0,0,0
"290",95,"Dist",0,0,0,0
"291",95,"Dist",0,0,0,0
"292",95,"Dist",0,0,0,0
"293",95,"Dist",0,0,0,0
"294",95,"Dist",0,0,0,0
"295",95,"Dist",0,0,0,0
"296",95,"Dist",1,0,0,0
"297",95,"Dist",0,0,0,0
"298",95,"Dist",0,0,0,0
"299",95,"Dist",0,0,0,0
"300",95,"Dist",55,0,0,0
"301",95,"Dist",0,0,0,0
"302",95,"Dist",37,0,0,0
"303",95,"Dist",17,0,0,0
"304",95,"Dist",0,0,0,0
"305",95,"Dist",0,0,0,0
"306",95,"Dist",0,0,0,0
"307",95,"Dist",0,0,0,0
"308",95,"Dist",0,0,0,0
"309",95,"Dist",42,0,0,0
