"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"1","PuyallupValley","TotGrowth","Dist","59.780301631295","54.6887074875823","59.6330482911","59.7884034367098","51.6087051620097"
"2","PuyallupValley","TotGrowth","Aspect","59.9853904988305","54.9102626189429","59.6772279087941","59.8844449536863","51.5501811217087"
"3","PuyallupValley","TotGrowth","MSP","60.1521700474851","54.7739483132871","59.6897487474547","59.6983851782066","51.512688596974"
"4","PuyallupValley","TotGrowth","DD.5.sp","59.9706951810313","54.7792747116654","59.6621673637106","59.8023998361412","51.6530154946353"
"5","PuyallupHill","TotGrowth","Dist","35.143677926258","36.8090635344891","34.1700245854271","31.7232412252254","36.034241353471"
"6","PuyallupHill","TotGrowth","Dist_Slope","35.1104366956122","37.2661877221756","34.4274217457194","31.6191702235172","35.9210130151187"
"7","PuyallupHill","TotGrowth","Dist_Aspect","34.9981929505858","36.9517585105352","34.4871229930839","31.7070027527786","35.9999366073316"
"8","PuyallupHill","TotGrowth","Dist_eFFP","35.0859518425713","36.9473377697985","34.58491422417","31.799551304431","35.9888311607255"
"9","PuyallupHill","TotGrowth","Dist_MSP","35.0864689581983","37.0639656418655","34.2633066490142","31.7772262025707","35.8987081559687"
"10","PuyallupHill","TotGrowth","Aspect","35.0472551513681","36.6660666774173","34.3035165958174","31.7299178872521","35.9058523268837"
"11","PuyallupHill","TotGrowth","Aspect_DD.5.sp","35.0326663122713","36.8471990129959","35.1062959292038","31.9307764257951","36.0576661869303"
"12","PuyallupHill","TotGrowth","eFFP","35.1031397371754","36.7445487726984","34.4995314915151","31.8104201605745","35.9267624509858"
"13","PuyallupHill","TotGrowth","eFFP_MSP","35.2487707055869","36.6855609174901","34.5831560384474","31.7875925896531","36.0601772069074"
"14","PuyallupHill","TotGrowth","eFFP_DD.5.sp","35.1674640545587","36.8519834656151","35.0993915892827","31.9317161372157","36.0517399905532"
"15","PuyallupHill","TotGrowth","MSP","35.129778210879","36.560867622056","34.0430150540702","31.8739063735467","35.8751568671497"
"16","PuyallupHill","TotGrowth","MSP_DD.5.sp","35.140223727483","36.6801545281568","34.8315211068003","32.0301893707387","36.035669331054"
"17","Starker","TotGrowth","Dist","41.6316636436819","39.4176642005449","37.6008620846641","36.2029951211621","36.9211341122594"
"18","Starker","TotGrowth","Dist_MSP","41.8252217990992","39.3337159781336","37.3946562258501","36.3528796146892","36.7801595436646"
"19","Starker","TotGrowth","Slope","41.7236748206885","39.3411937393319","37.4327360542263","36.4487010533655","36.7903722381848"
"20","Starker","TotGrowth","Aspect_MSP","41.7411221726332","39.3052072607871","37.3088392700528","36.4558854627518","36.7687830619711"
"21","Starker","TotGrowth","eFFP_MSP","41.7324954053756","39.2915588849024","37.2825188108416","36.3791039282699","36.7702977241743"
"22","Starker","TotGrowth","MSP","41.706786589917","39.3385984990216","37.3388716998284","36.3197826669721","36.727063632376"
"23","Starker","TotGrowth","DD.5.sp","41.6494025544485","39.4133552527668","37.5187434320594","36.194542759314","36.9050428343845"
"24","Sprague","TotGrowth","Dist","18.0327865985301","17.3165320768738","17.0206249528492","16.3181510341781","18.1050886655725"
"25","Sprague","TotGrowth","Dist_DD.5.sp","17.9593379119055","17.3439760196479","17.0173797818033","16.3027242314828","18.1913487750439"
