"","Site","Block","Tree","Source","Name","cond","ht"
"145","SF",1,1,"DE","DE4",2,80
"146","SF",1,2,"DE","DE4",2,1
"147","SF",1,3,"DE","DE4",1,124
"148","SF",1,4,"DE","DE4",2,118
"149","SF",1,5,"DE","DE4",2,75
"150","SF",1,1,"DE","DE5",1,93
"151","SF",1,2,"DE","DE5",2,123
"152","SF",1,3,"DE","DE5",2,94
"153","SF",1,4,"DE","DE5",2,43
"154","SF",1,5,"DE","DE5",1,118
"155","SF",1,1,"DE","DE6",1,1
"156","SF",1,2,"DE","DE6",1,45
"157","SF",1,3,"DE","DE6",2,64
"158","SF",1,4,"DE","DE6",1,108
"159","SF",1,5,"DE","DE6",2,77
"160","SF",1,1,"FB","FB3",1,94
"161","SF",1,2,"FB","FB3",1,106
"162","SF",1,3,"FB","FB3",1,154
"163","SF",1,4,"FB","FB3",1,70
"164","SF",1,5,"FB","FB3",2,89
"165","SF",1,1,"FB","FB9",2,126
"166","SF",1,3,"FB","FB9",2,54
"167","SF",1,4,"FB","FB9",1,106
"168","SF",1,5,"FB","FB9",2,25
"169","SF",1,1,"FW","FW10",1,45
"170","SF",1,2,"FW","FW10",1,80
"171","SF",1,3,"FW","FW10",1,49
"172","SF",1,4,"FW","FW10",1,37
"173","SF",1,5,"FW","FW10",1,93
"174","SF",1,1,"FW","FW3",1,76
"175","SF",1,2,"FW","FW3",2,102
"176","SF",1,3,"FW","FW3",1,94
"177","SF",1,4,"FW","FW3",1,49
"178","SF",1,5,"FW","FW3",2,182
"179","SF",1,1,"GA","GA1",2,112
"180","SF",1,2,"GA","GA1",1,121
"181","SF",1,3,"GA","GA1",2,102
"182","SF",1,4,"GA","GA1",1,71
"183","SF",1,5,"GA","GA1",2,106
"184","SF",1,1,"GA","GA2",2,42
"185","SF",1,3,"GA","GA2",1,71
"186","SF",1,4,"GA","GA2",1,38
"187","SF",1,5,"GA","GA2",1,114
"188","SF",1,1,"GA","GA3",1,46
"189","SF",1,2,"GA","GA3",1,87
"190","SF",1,3,"GA","GA3",1,113
"191","SF",1,5,"GA","GA3",1,48
"192","SF",1,1,"GP","GP1",1,126
"193","SF",1,2,"GP","GP1",1,63
"194","SF",1,3,"GP","GP1",1,67
"195","SF",1,4,"GP","GP1",2,148
"196","SF",1,5,"GP","GP1",2,24
"197","SF",1,1,"GP","GP2",2,62
"198","SF",1,2,"GP","GP2",2,62
"199","SF",1,3,"GP","GP2",2,71
"200","SF",1,4,"GP","GP2",1,90
"201","SF",1,5,"GP","GP2",1,67
"202","SF",1,1,"HC","HC1",1,107
"203","SF",1,2,"HC","HC1",2,107
"204","SF",1,4,"HC","HC1",1,97
"205","SF",1,1,"HC","HC2",2,1
"206","SF",1,2,"HC","HC2",1,66
"207","SF",1,3,"HC","HC2",2,52
"208","SF",1,4,"HC","HC2",2,49
"209","SF",1,5,"HC","HC2",1,19
"210","SF",1,1,"HP","HP1",2,58
"211","SF",1,3,"HP","HP1",1,114
"212","SF",1,4,"HP","HP1",1,56
"213","SF",1,1,"KL","KL10",2,108
"214","SF",1,2,"KL","KL10",1,107
"215","SF",1,3,"KL","KL10",1,13
"216","SF",1,5,"KL","KL10",2,104
"217","SF",1,2,"KL","KL11",1,79
"218","SF",1,4,"KL","KL11",1,92
"219","SF",1,5,"KL","KL11",1,1
"220","SF",1,1,"KL","KL12",1,126
"221","SF",1,2,"KL","KL12",1,74
"222","SF",1,3,"KL","KL12",1,39
