"","Site","Dep_Var","Indep_Var","Estimate","Stdev","Pval","Corr_Pval"
"1","PH","Growth","Dist",-0.00754545150877039,0.00819499320930593,0.357406031764028,1
"2","PH","Growth","eFFP",0.00633970836616878,0.0189157600679037,0.737577752034689,1
"3","PH","Growth","eFFP2",-1.58196144615234e-06,5.59354304706795e-06,0.777373261372192,1
"4","PV","Growth","EcoregionCORA",23.1569761280303,12.7650607401131,0.0699890733559415,1
"5","PV","Growth","EcoregionCSCD",4.50260444380822,9.81460758830863,0.646510733444819,1
"6","PV","Growth","EcoregionCSCO",22.6988228243273,14.0758613310241,0.107172646651466,1
"7","PV","Growth","EcoregionKLMT",17.1781810220644,10.3125608611838,0.0961026463904353,1
"8","PV","Growth","EcoregionSRNA",33.0351293168342,14.6971611001993,0.0248298632881426,0.86904521508499
"9","PV","Growth","EcoregionWIVA",0.312481145105167,8.14352372470989,0.969399611097425,1
"10","PV","Growth","Dist",-0.029018461279495,0.0144163680159725,0.0444175476903578,1
"11","PV","Growth","eFFP",-0.0105702393056539,0.0163243500723056,0.517460934826704,1
"12","PV","Growth","eFFP2",2.25839925729754e-06,4.75882886707153e-06,0.635205718775089,1
"13","SF","Growth","EcoregionCORA",15.1531545700278,8.36432599442114,0.0702364374380338,1
"14","SF","Growth","EcoregionCSCD",8.81819410107704,10.0364924315401,0.379748132618264,1
"15","SF","Growth","EcoregionCSCO",10.8345959544803,12.6650122379553,0.392421548645898,1
"16","SF","Growth","EcoregionKLMT",3.52973758651019,6.91041026022269,0.609574452355693,1
"17","SF","Growth","EcoregionPULO",3.02837692201296,7.80701561188504,0.698140276628443,1
"18","SF","Growth","EcoregionSRNA",9.08923166291734,9.84850259811727,0.35620131756395,1
"19","SF","Growth","Dist",-0.00252690146025843,0.0200123786911951,0.899537121444623,1
"20","SF","Growth","Slope",-0.141066455016571,0.274615590353781,0.607544543495001,1
"21","SF","Growth","Slope2",0.000195540687495167,0.000200871768741679,0.330477469948105,1
"22","SF","Growth","Aspect",26.3008681326457,10.4114932371784,0.0116319562501723,0.407118468756031
"23","SF","Growth","Aspect2",-0.380149471109796,0.14137560557199,0.00724541885962184,0.253589660086764
"24","SF","Growth","eFFP",0.231772289653231,0.12825512645871,0.0709387977040721,1
"25","SF","Growth","eFFP2",-3.18989472869587e-05,3.0745249173209e-05,0.299654390473018,1
"26","SF","Growth","MSP",-0.098364340435244,0.120284373050436,0.413617936904394,1
"27","SF","Growth","MSP2",-0.000300549632546048,0.00161110415480576,0.852038942398165,1
"28","SF","Growth","DD.5.sp",0.0519256729971636,0.053049880320842,0.327828351631006,1
"29","SF","Growth","DD.5.sp2",-3.9682770603253e-06,1.08409528287653e-05,0.714381740777603,1
"30","SO","Growth","eFFP",0.000617073821828362,0.00858815799385165,0.942736944541528,1
"31","SO","Growth","eFFP2",1.03868892357526e-06,3.80821417698046e-06,0.785112416207932,1
"32","SO","Growth","MSP",0.0134037207489427,0.0497758497139997,0.787778802083294,1
"33","SO","Growth","MSP2",-0.00014820734669653,0.00026003953788631,0.568868990514264,1
"34","SO","Growth","DD.5.sp",-0.0050809836326696,0.0163325098227514,0.755804220650804,1
"35","SO","Growth","DD.5.sp2",1.59921460236508e-06,4.04406308834578e-06,0.692612596248145,1
