"","Site","Dep_Var","Indep_Var","Estimate","Stdev","Pval","Corr_Pval"
"1","PH","Mortality","EcoregionCORA",-1.07370162030299,23403.9506115042,0.999963395498492,1
"2","PH","Mortality","EcoregionCSCD",-1.73888444446185,29899.0865299851,0.999953596272947,1
"3","PH","Mortality","EcoregionCSCO",-0.484875147306387,24573.8544968578,0.999984256666207,1
"4","PH","Mortality","EcoregionKLMT",17.5011115478339,15046.7914252203,0.999071970684126,1
"5","PH","Mortality","EcoregionSRNA",-1.96983200802557,29655.7241391203,0.999947001849017,1
"6","PH","Mortality","EcoregionWIVA",20.2445143526838,15046.7911603811,0.99892649665982,1
"7","PH","Mortality","ElevDist",0.00297735132228704,0.00363974543797042,0.413350982023457,1
"8","PV","Mortality","EcoregionCORA",-13.8693686911752,7446.25334851408,0.998513863518973,1
"9","PV","Mortality","EcoregionCSCD",-14.8652501776654,11995.4800904366,0.999011231690267,1
"10","PV","Mortality","EcoregionCSCO",28.768826063664,25.6731018297432,0.262465660085655,1
"11","PV","Mortality","EcoregionKLMT",1.53442557694777,7347.22849366556,0.999833366490548,1
"12","PV","Mortality","EcoregionSRNA",12.5483211142927,14749.6104062704,0.999321194919897,1
"13","PV","Mortality","EcoregionWIVA",6.029205988811,6.25585231526302,0.335160993732077,1
"14","PV","Mortality","Dist",-12.4865040520121,11.4223427476319,0.274321409474033,1
"15","PV","Mortality","Slope",3.37592502142194,3.77638193334232,0.371344621078835,1
"16","PV","Mortality","Aspect",-4.65933993184006,6.7088317831792,0.4873634437588,1
"17","PV","Mortality","ElevDist",-3.96214303079755,3.1984110435539,0.215425199103941,1
"18","PV","Mortality","eFFP",-1.47870295777395,10.5091861615158,0.888102399665391,1
"19","SF","Mortality","EcoregionCORA",601.460825101516,995543.279191533,0.99951795538465,1
"20","SF","Mortality","EcoregionCSCD",217.682660836559,1044049.6880542,0.999833642368783,1
"21","SF","Mortality","EcoregionCSCO",356.506024563717,4225701.64546533,0.999932685580677,1
"22","SF","Mortality","EcoregionKLMT",-100.762828490784,751570.97249382,0.999893027927026,1
"23","SF","Mortality","EcoregionPULO",11.9427096957897,1477007.56670326,0.999993548507201,1
"24","SF","Mortality","EcoregionSRNA",548.413784435429,1637969.43518278,0.999732857723741,1
"25","SF","Mortality","Dist",-231.044618944828,842237.734149691,0.999781122449724,1
"26","SF","Mortality","Slope",-5.72502972871721,1966866.81419366,0.999997677568813,1
"27","SF","Mortality","eFFP",-396.354973140315,738322.587552723,0.99957167029181,1
"28","SF","Mortality","DD.5.sp",-48.2305909540745,874083.551217462,0.999955973952596,1
"29","SO","Mortality","Dist",0.288830579104629,0.350254841167362,0.409581798421513,1
"30","SO","Mortality","Slope",-0.157462730949578,0.336212266739924,0.63953917546024,1
"31","SO","Mortality","eFFP",-0.0173916945316065,0.40441158870039,0.965697599054013,1
