"","Site","Group","DBK","NumLoc","NumDist","AIC"
"1",77,"Local",0,25,15,7.56640645691232e-12
"2",77,"Local",0,0,0,0
"3",77,"Local",6,0,0,0
"4",77,"Local",0,0,0,0
"5",77,"Local",14,0,0,0
"6",77,"Local",33,0,0,0
"7",77,"Local",3,0,0,0
"8",77,"Local",15,0,0,0
"9",77,"Local",0,0,0,0
"10",77,"Local",42,0,0,0
"11",77,"Local",77,0,0,0
"12",77,"Local",0,0,0,0
"13",77,"Local",0,0,0,0
"14",77,"Local",0,0,0,0
"15",77,"Local",6,0,0,0
"16",77,"Local",0,0,0,0
"17",77,"Local",0,0,0,0
"18",77,"Local",0,0,0,0
"19",77,"Local",19,0,0,0
"20",77,"Local",0,0,0,0
"21",77,"Local",0,0,0,0
"22",77,"Local",40,0,0,0
"23",77,"Local",0,0,0,0
"24",77,"Local",122,0,0,0
"25",77,"Local",20,0,0,0
"26",77,"Local",0,0,0,0
"27",77,"Local",85,0,0,0
"28",77,"Local",147,0,0,0
"29",77,"Local",2,0,0,0
"30",77,"Local",2,0,0,0
"31",77,"Local",0,0,0,0
"32",77,"Local",48,0,0,0
"33",77,"Local",0,0,0,0
"34",77,"Local",0,0,0,0
"35",77,"Local",0,0,0,0
"36",77,"Local",0,0,0,0
"37",77,"Local",0,0,0,0
"38",77,"Local",62,0,0,0
"39",77,"Local",0,0,0,0
"40",77,"Local",28,0,0,0
"41",77,"Local",0,0,0,0
"42",77,"Local",203,0,0,0
"43",77,"Local",0,0,0,0
"44",77,"Local",29,0,0,0
"45",77,"Local",26,0,0,0
"46",77,"Local",21,0,0,0
"47",77,"Local",0,0,0,0
"48",77,"Local",103,0,0,0
"49",77,"Local",0,0,0,0
"50",77,"Local",38,0,0,0
"51",77,"Local",53,0,0,0
"52",77,"Local",9,0,0,0
"53",77,"Local",25,0,0,0
"54",77,"Local",182,0,0,0
"55",77,"Local",27,0,0,0
"56",77,"Local",0,0,0,0
"57",77,"Local",0,0,0,0
"58",77,"Local",0,0,0,0
"59",77,"Local",51,0,0,0
"60",77,"Local",0,0,0,0
"61",77,"Local",3,0,0,0
"62",77,"Local",3,0,0,0
"63",77,"Local",0,0,0,0
"64",77,"Local",31,0,0,0
"65",77,"Local",17,0,0,0
"66",77,"Local",0,0,0,0
"67",77,"Local",52,0,0,0
"68",77,"Local",49,0,0,0
"69",77,"Local",129,0,0,0
"70",77,"Local",23,0,0,0
"71",77,"Local",0,0,0,0
"72",77,"Local",0,0,0,0
"73",77,"Local",0,0,0,0
"74",77,"Local",11,0,0,0
"75",77,"Local",14,0,0,0
"76",77,"Local",0,0,0,0
"77",77,"Local",4,0,0,0
"78",77,"Local",0,0,0,0
"79",77,"Local",0,0,0,0
"80",77,"Local",43,0,0,0
"81",77,"Local",0,0,0,0
"82",77,"Local",0,0,0,0
"83",77,"Local",82,0,0,0
"84",77,"Local",0,0,0,0
"85",77,"Local",60,0,0,0
"86",77,"Local",0,0,0,0
"87",77,"Local",35,0,0,0
"88",77,"Local",52,0,0,0
"89",77,"Local",0,0,0,0
"90",77,"Local",56,0,0,0
"91",77,"Local",0,0,0,0
"92",77,"Local",0,0,0,0
"93",77,"Local",0,0,0,0
"94",77,"Local",109,0,0,0
"95",77,"Local",159,0,0,0
"96",77,"Local",0,0,0,0
"97",77,"Local",0,0,0,0
"98",77,"Local",0,0,0,0
"99",77,"Local",0,0,0,0
"100",77,"Local",0,0,0,0
"101",77,"Local",9,0,0,0
"102",77,"Local",0,0,0,0
"103",77,"Local",150,0,0,0
"104",77,"Local",0,0,0,0
"105",77,"Local",47,0,0,0
"106",77,"Local",27,0,0,0
"107",77,"Local",79,0,0,0
"108",77,"Local",0,0,0,0
"109",77,"Local",0,0,0,0
"110",77,"Local",19,0,0,0
"111",77,"Local",62,0,0,0
"112",77,"Local",0,0,0,0
"113",77,"Local",0,0,0,0
"114",77,"Local",39,0,0,0
"115",77,"Local",59,0,0,0
"116",77,"Local",12,0,0,0
"117",77,"Local",6,0,0,0
"118",77,"Local",34,0,0,0
"119",77,"Local",0,0,0,0
"120",77,"Local",14,0,0,0
"121",77,"Local",0,0,0,0
"122",77,"Local",0,0,0,0
"123",77,"Local",8,0,0,0
"124",77,"Local",0,0,0,0
"125",77,"Local",64,0,0,0
"126",77,"Local",48,0,0,0
"127",77,"Local",89,0,0,0
"128",77,"Local",0,0,0,0
"129",77,"Local",0,0,0,0
"130",77,"Local",4,0,0,0
"131",77,"Local",0,0,0,0
"132",77,"Local",4,0,0,0
"133",77,"Local",36,0,0,0
"134",77,"Local",25,0,0,0
"135",77,"Local",0,0,0,0
"136",77,"Local",38,0,0,0
"137",77,"Local",0,0,0,0
"138",77,"Local",0,0,0,0
"139",77,"Local",22,0,0,0
"140",77,"Local",0,0,0,0
"141",77,"Local",0,0,0,0
"142",77,"Local",0,0,0,0
"143",77,"Local",100,0,0,0
"144",77,"Local",126,0,0,0
"145",77,"Local",0,0,0,0
"146",77,"Local",0,0,0,0
"147",77,"Local",0,0,0,0
"148",77,"Local",0,0,0,0
"149",77,"Local",0,0,0,0
"150",77,"Local",27,0,0,0
"151",77,"Local",0,0,0,0
"152",77,"Local",117,0,0,0
"153",77,"Local",138,0,0,0
"154",77,"Local",25,0,0,0
"155",77,"Local",65,0,0,0
"156",77,"Local",28,0,0,0
"157",77,"Local",0,0,0,0
"158",77,"Local",0,0,0,0
"159",77,"Local",25,0,0,0
"160",77,"Local",0,0,0,0
"161",77,"Local",15,0,0,0
"162",77,"Local",0,0,0,0
"163",77,"Local",0,0,0,0
"164",77,"Local",0,0,0,0
"165",77,"Local",0,0,0,0
"166",77,"Local",0,0,0,0
"167",77,"Local",0,0,0,0
"168",77,"Local",0,0,0,0
"169",77,"Local",0,0,0,0
"170",77,"Local",0,0,0,0
"171",77,"Local",0,0,0,0
"172",77,"Local",22,0,0,0
"173",77,"Local",0,0,0,0
"174",77,"Local",82,0,0,0
"175",77,"Local",10,0,0,0
"176",77,"Local",0,0,0,0
"177",77,"Local",19,0,0,0
"178",77,"Local",0,0,0,0
"179",77,"Local",7,0,0,0
"180",77,"Local",31,0,0,0
"181",77,"Local",2,0,0,0
"182",77,"Local",61,0,0,0
"183",77,"Local",53,0,0,0
"184",77,"Local",88,0,0,0
"185",77,"Local",17,0,0,0
"186",77,"Local",153,0,0,0
"187",77,"Local",49,0,0,0
"188",77,"Local",0,0,0,0
"189",77,"Local",0,0,0,0
"190",77,"Local",0,0,0,0
"191",77,"Local",0,0,0,0
"192",77,"Local",14,0,0,0
"193",77,"Local",73,0,0,0
"194",77,"Local",0,0,0,0
"195",77,"Local",0,0,0,0
"196",77,"Local",0,0,0,0
"197",77,"Local",105,0,0,0
"198",77,"Local",0,0,0,0
"199",77,"Local",0,0,0,0
"200",77,"Local",7,0,0,0
"201",77,"Local",16,0,0,0
"202",77,"Local",0,0,0,0
"203",77,"Local",0,0,0,0
"204",77,"Local",0,0,0,0
"205",77,"Local",94,0,0,0
"206",77,"Local",0,0,0,0
"207",77,"Local",0,0,0,0
"208",77,"Local",76,0,0,0
"209",77,"Local",0,0,0,0
"210",77,"Local",3,0,0,0
"211",77,"Local",78,0,0,0
"212",77,"Local",60,0,0,0
"213",77,"Local",0,0,0,0
"214",77,"Local",12,0,0,0
"215",77,"Local",69,0,0,0
"216",77,"Local",0,0,0,0
"217",77,"Local",133,0,0,0
"218",77,"Local",17,0,0,0
"219",77,"Local",0,0,0,0
"220",77,"Local",0,0,0,0
"221",77,"Local",0,0,0,0
"222",77,"Local",26,0,0,0
"223",77,"Local",29,0,0,0
"224",77,"Local",0,0,0,0
"225",77,"Local",0,0,0,0
"226",77,"Local",0,0,0,0
"227",77,"Local",16,0,0,0
"228",77,"Local",4,0,0,0
"229",77,"Local",0,0,0,0
"230",77,"Local",0,0,0,0
"231",77,"Local",41,0,0,0
"232",77,"Local",48,0,0,0
"233",77,"Local",0,0,0,0
"234",77,"Local",43,0,0,0
"235",77,"Local",0,0,0,0
"236",77,"Local",60,0,0,0
"237",77,"Local",35,0,0,0
"238",77,"Local",0,0,0,0
"239",77,"Local",0,0,0,0
"240",77,"Local",0,0,0,0
"241",77,"Local",25,0,0,0
"242",77,"Local",55,0,0,0
"243",77,"Local",0,0,0,0
"244",77,"Local",19,0,0,0
"245",77,"Local",0,0,0,0
"246",77,"Local",49,0,0,0
"247",77,"Local",0,0,0,0
"248",77,"Local",143,0,0,0
"249",77,"Local",7,0,0,0
"250",77,"Local",0,0,0,0
"251",77,"Local",13,0,0,0
"252",77,"Local",0,0,0,0
"253",77,"Local",0,0,0,0
"254",77,"Local",27,0,0,0
"255",77,"Local",11,0,0,0
"256",77,"Local",105,0,0,0
"257",77,"Local",51,0,0,0
"258",77,"Local",4,0,0,0
"259",77,"Local",0,0,0,0
"260",77,"Local",0,0,0,0
"261",77,"Local",23,0,0,0
"262",77,"Local",26,0,0,0
"263",77,"Local",0,0,0,0
"264",77,"Local",0,0,0,0
"265",77,"Local",0,0,0,0
