Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SO,WIVA,AK,AK3,1,1,1,38,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK3,1,3,2,41,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK3,1,4,1,32,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK3,1,5,1,43,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK3,1,6,1,45,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK6,1,1,2,48,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK6,1,2,1,22,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK6,1,4,1,37,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK6,1,5,1,39,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK9,1,1,1,40,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK9,1,2,1,20,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK9,1,4,1,42,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,WIVA,AK,AK9,1,5,1,46,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,12
SO,CORA,BA,BA2,1,1,1,30,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,12
SO,CORA,BA,BA2,1,2,1,37,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,12
SO,CORA,BA,BA2,1,3,1,27,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,12
SO,CORA,BA,BA2,1,4,1,47,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,12
SO,CORA,BA,BA2,1,5,1,50,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,12
SO,CORA,BA,BA3,1,1,1,30,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,12
SO,CORA,BA,BA3,1,4,1,26,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,12
SO,CORA,BA,BA3,1,5,1,43,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,12
SO,CORA,BA,BA5,1,1,1,38,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,12
SO,CORA,BA,BA5,1,2,1,37,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,12
SO,CORA,BA,BA5,1,3,1,42,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,12
SO,CORA,BA,BA5,1,4,1,38,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,12
SO,CORA,BA,BA5,1,5,1,22,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,12
SO,PULO,BC,BC3,1,1,1,32,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,12
SO,PULO,BC,BC3,1,2,1,39,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,12
SO,PULO,BC,BC3,1,3,1,23,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,12
SO,PULO,BC,BC3,1,4,1,36,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,12
SO,PULO,BC,BC6,1,1,1,51,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,12
SO,PULO,BC,BC6,1,2,1,50,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,12
SO,PULO,BC,BC6,1,3,1,22,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,12
SO,PULO,BC,BC6,1,4,1,27,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,12
SO,PULO,BC,BC6,1,5,1,42,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,12
SO,PULO,BC,BC8,1,1,1,43,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,12
SO,PULO,BC,BC8,1,2,1,58,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,12
SO,PULO,BC,BC8,1,3,1,47,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,12
SO,PULO,BC,BC8,1,4,1,29,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,12
SO,PULO,BC,BC8,1,5,1,36,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,12
SO,KLMT,BK,BK2,1,1,1,31,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,12
SO,KLMT,BK,BK2,1,2,1,19,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,12
SO,KLMT,BK,BK2,1,3,2,26,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,12
SO,KLMT,BK,BK2,1,4,1,52,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,12
SO,KLMT,BK,BK2,1,5,1,24,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,12
SO,KLMT,BK,BK3,1,1,1,32,81.56268843,-85.2662816,2253,226,59.58426237,8.8,41,1639,12
SO,KLMT,BK,BK3,1,5,1,31,81.56268843,-85.2662816,2253,226,59.58426237,8.8,41,1639,12
SO,KLMT,BK,BK5,1,1,1,42,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,12
SO,KLMT,BK,BK5,1,2,1,29,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,12
SO,KLMT,BK,BK5,1,3,1,33,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,12
SO,KLMT,BK,BK5,1,4,1,35,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,12
SO,KLMT,BK,BK5,1,5,2,39,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,12
SO,CSCO,BL,BL1,1,1,2,21,377.1408146,103,767,-34,437.7842624,22.5,41,1360,12
SO,CSCO,BL,BL1,1,2,1,44,377.1408146,103,767,-34,437.7842624,22.5,41,1360,12
SO,CSCO,BL,BL1,1,3,1,48,377.1408146,103,767,-34,437.7842624,22.5,41,1360,12
SO,CSCO,BL,BL1,1,4,1,34,377.1408146,103,767,-34,437.7842624,22.5,41,1360,12
SO,CSCO,BL,BL1,1,5,1,32,377.1408146,103,767,-34,437.7842624,22.5,41,1360,12
SO,CSCO,BL,BL2,1,1,1,41,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,12
SO,CSCO,BL,BL2,1,2,1,33,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,12
SO,CSCO,BL,BL2,1,3,1,45,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,12
SO,CSCO,BL,BL2,1,4,1,39,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,12
SO,CSCO,BL,BL2,1,5,1,36,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,12
SO,CSCO,BL,BL3,1,1,1,20,375.5400701,121.8810332,787,-33,431.0842624,22.1,42,1360,12
SO,CSCO,BL,BL3,1,2,1,37,375.5400701,121.8810332,787,-33,431.0842624,22.1,42,1360,12
SO,CSCO,BL,BL3,1,3,1,39,375.5400701,121.8810332,787,-33,431.0842624,22.1,42,1360,12
