"","Site","Block","Tree","Source","Name","cond","ht","Year"
"115","PH",1,3,"CR","CR3",1,62,12
"116","PH",1,4,"CR","CR3",1,54,12
"117","PH",1,5,"CR","CR3",1,29,12
"118","PH",1,1,"CR","CR4",1,48,12
"119","PH",1,2,"CR","CR4",1,52,12
"120","PH",1,3,"CR","CR4",1,29,12
"121","PH",1,4,"CR","CR4",1,29,12
"122","PH",1,5,"CR","CR4",1,33,12
"123","PH",1,1,"CY","CY6",1,43,12
"124","PH",1,2,"CY","CY6",1,51,12
"125","PH",1,3,"CY","CY6",1,65,12
"126","PH",1,4,"CY","CY6",1,55,12
"127","PH",1,5,"CY","CY6",1,48,12
"128","PH",1,1,"DE","DE2",1,26,12
"129","PH",1,2,"DE","DE2",1,34,12
"130","PH",1,3,"DE","DE2",1,59,12
"131","PH",1,4,"DE","DE2",1,76,12
"132","PH",1,5,"DE","DE2",1,42,12
"133","PH",1,1,"DE","DE4",1,57,12
"134","PH",1,2,"DE","DE4",1,28,12
"135","PH",1,3,"DE","DE4",1,27,12
"136","PH",1,4,"DE","DE4",1,56,12
"137","PH",1,5,"DE","DE4",1,44,12
"138","PH",1,1,"DE","DE5",1,43,12
"139","PH",1,2,"DE","DE5",1,41,12
"140","PH",1,3,"DE","DE5",1,43,12
"141","PH",1,4,"DE","DE5",1,58,12
"142","PH",1,5,"DE","DE5",1,69,12
"143","PH",1,1,"DE","DE6",1,42,12
"144","PH",1,2,"DE","DE6",1,20,12
"145","PH",1,3,"DE","DE6",1,71,12
"146","PH",1,4,"DE","DE6",1,73,12
"147","PH",1,5,"DE","DE6",1,63,12
"148","PH",1,2,"FB","FB3",1,62,12
"149","PH",1,3,"FB","FB3",1,42,12
"150","PH",1,4,"FB","FB3",1,62,12
"151","PH",1,5,"FB","FB3",1,69,12
"152","PH",1,1,"FB","FB9",1,71,12
"153","PH",1,2,"FB","FB9",1,65,12
"154","PH",1,3,"FB","FB9",1,27,12
"155","PH",1,4,"FB","FB9",1,66,12
"156","PH",1,5,"FB","FB9",1,38,12
"157","PH",1,4,"FW","FW10",1,58,12
"158","PH",1,5,"FW","FW10",1,53,12
"159","PH",1,1,"FW","FW3",1,35,12
"160","PH",1,3,"FW","FW3",1,39,12
"161","PH",1,4,"FW","FW3",1,56,12
"162","PH",1,5,"FW","FW3",1,46,12
"163","PH",1,1,"GA","GA1",1,79,12
"164","PH",1,2,"GA","GA1",1,64,12
"165","PH",1,3,"GA","GA1",1,37,12
"166","PH",1,4,"GA","GA1",1,51,12
"167","PH",1,5,"GA","GA1",1,22,12
"168","PH",1,1,"GA","GA2",1,58,12
"169","PH",1,2,"GA","GA2",1,53,12
"170","PH",1,4,"GA","GA2",1,62,12
"171","PH",1,1,"GA","GA3",1,57,12
"172","PH",1,2,"GA","GA3",1,61,12
"173","PH",1,3,"GA","GA3",1,39,12
"174","PH",1,4,"GA","GA3",1,50,12
"175","PH",1,5,"GA","GA3",1,51,12
"176","PH",1,2,"GP","GP1",1,27,12
"177","PH",1,3,"GP","GP1",1,41,12
"178","PH",1,5,"GP","GP1",1,50,12
"179","PH",1,1,"GP","GP2",1,72,12
"180","PH",1,2,"GP","GP2",1,45,12
"181","PH",1,3,"GP","GP2",1,67,12
"182","PH",1,4,"GP","GP2",1,39,12
"183","PH",1,5,"GP","GP2",1,33,12
"184","PH",1,1,"HC","HC1",1,57,12
"185","PH",1,2,"HC","HC1",1,49,12
"186","PH",1,3,"HC","HC1",1,64,12
"187","PH",1,4,"HC","HC1",1,42,12
"188","PH",1,5,"HC","HC1",1,64,12
"189","PH",1,1,"HC","HC2",1,45,12
"190","PH",1,2,"HC","HC2",1,65,12
"191","PH",1,3,"HC","HC2",1,69,12
"192","PH",1,4,"HC","HC2",1,51,12
"193","PH",1,5,"HC","HC2",1,48,12
"194","PH",1,1,"HP","HP1",1,64,12
"195","PH",1,2,"HP","HP1",1,38,12
"196","PH",1,3,"HP","HP1",1,35,12
"197","PH",1,5,"HP","HP1",1,47,12
"198","PH",1,1,"KL","KL10",1,74,12
"199","PH",1,2,"KL","KL10",1,50,12
"200","PH",1,3,"KL","KL10",1,56,12
"201","PH",1,4,"KL","KL10",1,37,12
"202","PH",1,5,"KL","KL10",1,37,12
"203","PH",1,3,"KL","KL11",1,41,12
"204","PH",1,4,"KL","KL11",1,49,12
"205","PH",1,5,"KL","KL11",1,42,12
"206","PH",1,2,"KL","KL12",1,49,12
"207","PH",1,3,"KL","KL12",1,46,12
"208","PH",1,4,"KL","KL12",1,32,12
"209","PH",1,5,"KL","KL12",1,41,12
"210","PH",1,2,"KL","KL13",1,34,12
"211","PH",1,3,"KL","KL13",1,60,12
"212","PH",1,4,"KL","KL13",1,49,12
"213","PH",1,5,"KL","KL13",1,40,12
"214","PH",1,2,"KL","KL14",1,82,12
"215","PH",1,3,"KL","KL14",1,58,12
"216","PH",1,4,"KL","KL14",1,54,12
"217","PH",1,5,"KL","KL14",1,26,12
"218","PH",1,1,"KL","KL6",1,54,12
"219","PH",1,3,"KL","KL6",1,32,12
"220","PH",1,4,"KL","KL6",1,55,12
"221","PH",1,5,"KL","KL6",1,30,12
"222","PH",1,1,"KL","KL7",1,33,12
"223","PH",1,2,"KL","KL7",1,17,12
"224","PH",1,3,"KL","KL7",1,55,12
"225","PH",1,4,"KL","KL7",1,61,12
"226","PH",1,5,"KL","KL7",1,48,12
"227","PH",1,2,"KM","KM1",1,46,12
"228","PH",1,3,"KM","KM1",1,45,12
"229","PH",1,4,"KM","KM1",1,31,12
"230","PH",1,5,"KM","KM1",1,57,12
"231","PH",1,1,"KM","KM10",1,45,12
"232","PH",1,3,"KM","KM10",1,58,12
"233","PH",1,4,"KM","KM10",1,36,12
"234","PH",1,1,"LA","LA10",1,40,12
"235","PH",1,2,"LA","LA10",1,72,12
"236","PH",1,3,"LA","LA10",1,40,12
"237","PH",1,4,"LA","LA10",1,60,12
"238","PH",1,5,"LA","LA10",1,27,12
"239","PH",1,2,"LA","LA13",1,58,12
"240","PH",1,3,"LA","LA13",1,61,12
"241","PH",1,4,"LA","LA13",1,71,12
"242","PH",1,5,"LA","LA13",1,42,12
"243","PH",1,1,"LA","LA5",1,55,12
"244","PH",1,2,"LA","LA5",1,62,12
"245","PH",1,3,"LA","LA5",1,28,12
"246","PH",1,4,"LA","LA5",1,66,12
"247","PH",1,2,"LA","LA8",1,41,12
"248","PH",1,3,"LA","LA8",1,53,12
"249","PH",1,4,"LA","LA8",1,40,12
"250","PH",1,5,"LA","LA8",1,59,12
"251","PH",1,1,"LC","LC1",1,58,12
"252","PH",1,3,"LC","LC1",1,77,12
"253","PH",1,4,"LC","LC1",1,63,12
"254","PH",1,2,"LC","LC2",1,47,12
"255","PH",1,3,"LC","LC2",1,40,12
"256","PH",1,4,"LC","LC2",2,51,12
"257","PH",1,3,"OH","OH1",1,35,12
"258","PH",1,4,"OH","OH1",1,40,12
"259","PH",1,5,"OH","OH1",1,65,12
"260","PH",1,1,"OK","OK1",1,39,12
"261","PH",1,2,"OK","OK1",1,62,12
"262","PH",1,3,"OK","OK1",1,44,12
"263","PH",1,4,"OK","OK1",1,61,12
"264","PH",1,1,"OL","OL1",1,45,12
"265","PH",1,2,"OL","OL1",1,33,12
"266","PH",1,3,"OL","OL1",1,71,12
"267","PH",1,4,"OL","OL1",1,41,12
"268","PH",1,5,"OL","OL1",1,45,12
"269","PH",1,1,"OR","OR1",1,46,12
"270","PH",1,3,"OR","OR1",1,47,12
"271","PH",1,4,"OR","OR1",1,76,12
"272","PH",1,5,"OR","OR1",2,67,12
"273","PH",1,1,"PA","PA1",1,52,12
"274","PH",1,2,"PA","PA1",1,30,12
"275","PH",1,3,"PA","PA1",1,25,12
"276","PH",1,4,"PA","PA1",1,79,12
"277","PH",1,5,"PA","PA1",2,38,12
"278","PH",1,2,"PA","PA3",1,53,12
"279","PH",1,3,"PA","PA3",1,64,12
"280","PH",1,4,"PA","PA3",1,47,12
"281","PH",1,5,"PA","PA3",1,38,12
"282","PH",1,1,"PA","PA4",1,63,12
"283","PH",1,2,"PA","PA4",1,50,12
"284","PH",1,3,"PA","PA4",1,43,12
"285","PH",1,4,"PA","PA4",1,73,12
"286","PH",1,5,"PA","PA4",1,69,12
"287","PH",1,1,"PF","PF1",1,33,12
"288","PH",1,2,"PF","PF1",1,63,12
"289","PH",1,3,"PF","PF1",1,44,12
"290","PH",1,4,"PF","PF1",1,63,12
"291","PH",1,5,"PF","PF1",1,48,12
"292","PH",1,1,"PF","PF2",1,26,12
"293","PH",1,2,"PF","PF2",1,71,12
"294","PH",1,3,"PF","PF2",1,26,12
"295","PH",1,4,"PF","PF2",1,25,12
"296","PH",1,5,"PF","PF2",1,24,12
"297","PH",1,1,"PF","PF4",1,57,12
"298","PH",1,4,"PF","PF4",1,36,12
"299","PH",1,5,"PF","PF4",1,54,12
"300","PH",1,1,"PF","PF5",1,39,12
"301","PH",1,2,"PF","PF5",1,40,12
"302","PH",1,4,"PF","PF5",1,40,12
"303","PH",1,5,"PF","PF5",1,61,12
"304","PH",1,1,"PL","PL1",1,57,12
"305","PH",1,2,"PL","PL1",1,30,12
"306","PH",1,3,"PL","PL1",1,55,12
"307","PH",1,4,"PL","PL1",1,64,12
"308","PH",1,5,"PL","PL1",1,39,12
"309","PH",1,1,"PL","PL11",1,45,12
"310","PH",1,2,"PL","PL11",1,44,12
"311","PH",1,3,"PL","PL11",2,24,12
"312","PH",1,4,"PL","PL11",1,67,12
"313","PH",1,5,"PL","PL11",1,37,12
"314","PH",1,2,"PL","PL4",1,53,12
"315","PH",1,3,"PL","PL4",1,51,12
"316","PH",1,4,"PL","PL4",1,38,12
"317","PH",1,5,"PL","PL4",1,69,12
"318","PH",1,1,"PL","PL7",1,54,12
"319","PH",1,2,"PL","PL7",1,53,12
"320","PH",1,3,"PL","PL7",1,23,12
"321","PH",1,5,"PL","PL7",1,42,12
"322","PH",1,1,"RA","RA2",1,59,12
"323","PH",1,2,"RA","RA2",1,35,12
"324","PH",1,3,"RA","RA2",1,30,12
"325","PH",1,5,"RA","RA2",1,65,12
"326","PH",1,1,"RA","RA8",1,31,12
"327","PH",1,3,"RA","RA8",1,77,12
"328","PH",1,4,"RA","RA8",1,72,12
"329","PH",1,5,"RA","RA8",1,60,12
"330","PH",1,2,"RV","RV3",1,40,12
"331","PH",1,3,"RV","RV3",1,44,12
"332","PH",1,4,"RV","RV3",1,74,12
"333","PH",1,5,"RV","RV3",1,51,12
"334","PH",1,1,"RV","RV4",1,37,12
"335","PH",1,2,"RV","RV4",1,72,12
"336","PH",1,3,"RV","RV4",1,27,12
"337","PH",1,4,"RV","RV4",1,69,12
"338","PH",1,5,"RV","RV4",1,55,12
"339","PH",1,2,"RV","RV8",1,31,12
"340","PH",1,3,"RV","RV8",1,47,12
"341","PH",1,4,"RV","RV8",1,36,12
"342","PH",1,5,"RV","RV8",1,61,12
"343","PH",1,2,"SA","SA5",1,28,12
"344","PH",1,3,"SA","SA5",1,44,12
"345","PH",1,4,"SA","SA5",1,34,12
"346","PH",1,5,"SA","SA5",1,36,12
"347","PH",1,1,"SA","SA7",1,44,12
